variable,value,label,meta
P2D,NA,"2a. En los últimos 6 meses, ¿Ha solicitado a algún conocido que realice en Internet alguna de las siguientes actividades por usted?",varlab
P2D,1,Obtener información,NA
P2D,2,Descargar/imprimir documentos,NA
P2D,3,Obtener algún formulario,NA
P2D,4,Enviar/recibir correo electrónico,NA
P2D,5,Contactar a algún familiar/amigo,NA
P2D,6,Comprar/pagar artículos/servicios por Internet,NA
P2D,7,"Revisar alguna red social (Facebook, WhatsApp, etc)",NA
P2D,8,Otro,NA
P2D,9,Ninguno,NA
P2E,NA,2a. Otro,varlab
P3A,NA,3a. ¿Más o menos cuántas veces ha solicitado esta ayuda en el último mes?,varlab
P4A,NA,"4a. ¿Si tuviera acceso a Internet, usted estaría... ?.... usar Internet?",varlab
P4A,1,Muy interesado,NA
P4A,2,M?s o menos interesado,NA
P4A,3,Poco interesado,NA
P4A,4,Nada interesado,NA
P4A,9,NS/NR,NA
P4,NA,4. ¿Tiene teléfono fijo en su casa?,varlab
P4,1,Si,NA
P4,2,No,NA
P5,NA,5. ¿Cuánto pagan al mes por este servicio?,varlab
P5,98,No tiene el servicio,NA
P5,99,NS/NR,NA
P6,NA,"6. ¿Tiene computadora de escritorio, computadora portátil o tablet en su casa?",varlab
P6,1,Si,NA
P6,2,No,NA
P7A,NA,7. ¿Cuándo fue la última vez que en su casa compraron alguno de estos equipos? (MESES),varlab
P7A,99,NS/NR,NA
P7B,NA,7. ¿Cuándo fue la última vez que en su casa compraron alguno de estos equipos? (AÑOS),varlab
P7B,99,NS/NR,NA
P8,NA,"8. Y la última vez ¿Compraron una computadora de escritorio, una computadora portátil o una táblet?",varlab
P8,1,Computadora de escritorio,NA
P8,2,Computadora portátil,NA
P8,3,Tablet,NA
P8,9,NS/NR,NA
P9,NA,9. ¿Cuánto pagaron aproximadamente por ese equipo?,varlab
P9,99,NS/NR,NA
P10,NA,"10. ¿Más o menos cuántos días a la semana usa computadora de escritorio, computadora portátil o tablet?",varlab
P10,8,Menos de una vez por semana,NA
P10,9,No usa estos equipos,NA
P11A,NA,11. ¿Qué usos le da usted a estos equipos?,varlab
P11A,1,Herramienta de trabajo,NA
P11A,2,Escuchar música o ver videos,NA
P11A,3,Juegos,NA
P11A,4,Conectarse a Internet,NA
P11A,5,Estudio,NA
P11A,6,Otro,NA
P11B,NA,11. ¿Qué usos le da usted a estos equipos?,varlab
P11B,1,Herramienta de trabajo,NA
P11B,2,Escuchar música o ver videos,NA
P11B,3,Juegos,NA
P11B,4,Conectarse a Internet,NA
P11B,5,Estudio,NA
P11B,6,Otro,NA
P11C,NA,11. ¿Qué usos le da usted a estos equipos?,varlab
P11C,1,Herramienta de trabajo,NA
P11C,2,Escuchar música o ver videos,NA
P11C,3,Juegos,NA
P11C,4,Conectarse a Internet,NA
P11C,5,Estudio,NA
P11C,6,Otro,NA
P11F,NA,11. ¿Qué usos le da usted a estos equipos?,varlab
P11F,1,Herramienta de trabajo,NA
P11F,2,Escuchar música o ver videos,NA
P11F,3,Juegos,NA
P11F,4,Conectarse a Internet,NA
P11F,5,Estudio,NA
P11F,6,Otro,NA
P11G,NA,11. ¿Qué usos le da usted a estos equipos?,varlab
P11G,1,Herramienta de trabajo,NA
P11G,2,Escuchar música o ver videos,NA
P11G,3,Juegos,NA
P11G,4,Conectarse a Internet,NA
P11G,5,Estudio,NA
P11G,6,Otro,NA
P11D,NA,11. Otro,varlab
P12,NA,12. ¿Tiene televisor en su casa?,varlab
P12,1,Si,NA
P12,2,No,NA
P13A,NA,13. ¿Cuándo fue la última vez que en su casa compraron un televisor? (MESES),varlab
P13A,99,NS/NR,NA
P13B,NA,13. ¿Cuándo fue la última vez que en su casa compraron un televisor? (AÑOS),varlab
P13B,99,NS/NR,NA
P14,NA,14. ¿Cuánto pagaron aproximadamente por ese televisor?,varlab
P14,9,NS/NR,NA
P15A,NA,15. ¿Qué tipo de programas son los que más le gusta mirar en televisión?,varlab
P15A,1,Noticias,NA
P15A,2,Deportes,NA
P15A,3,Salud y educación,NA
P15A,4,"Entretenimiento (series, novelas, pel?culas, far?ndula, moda, concursos)",NA
P15A,5,Otro,NA
P15A,6,No mira televisión,NA
P15B,NA,15. ¿Qué tipo de programas son los que más le gusta mirar en televisión?,varlab
P15B,1,Noticias,NA
P15B,2,Deportes,NA
P15B,3,Salud y educación,NA
P15B,4,"Entretenimiento (series, novelas, pel?culas, far?ndula, moda, concursos)",NA
P15B,5,Otro,NA
P15B,6,No mira televisión,NA
P15C,NA,15. ¿Qué tipo de programas son los que más le gusta mirar en televisión?,varlab
P15C,1,Noticias,NA
P15C,2,Deportes,NA
P15C,3,Salud y educación,NA
P15C,4,"Entretenimiento (series, novelas, pel?culas, far?ndula, moda, concursos)",NA
P15C,5,Otro,NA
P15C,6,No mira televisión,NA
P15E,NA,15. ¿Qué tipo de programas son los que más le gusta mirar en televisión?,varlab
P15E,1,Noticias,NA
P15E,2,Deportes,NA
P15E,3,Salud y educación,NA
P15E,4,"Entretenimiento (series, novelas, pel?culas, far?ndula, moda, concursos)",NA
P15E,5,Otro,NA
P15E,6,No mira televisión,NA
P15D,NA,15. Otro,varlab
P16,NA,16. ¿En su casa usted tiene servicio de TV Cable?,varlab
P16,1,Si,NA
P16,2,No,NA
P17,NA,17. ¿En su casa usted tiene servicio de TV Satelital?,varlab
P17,1,Si,NA
P17,2,No,NA
P18,NA,18. ¿Cuánto pagan al mes por este servicio de Tv cable/Tv satelital?,varlab
P18,99,NS/NR,NA
P19,NA,"19. Del 1 al 5, donde 1 es pésimo y 5 es excelente ¿qué puntaje le daría a este servicio?",varlab
P19,9,NS/NR,NA
P20,NA,20. ¿Tiene radio en su casa?,varlab
P20,1,Si,NA
P20,2,No,NA
P21A,NA,21. ¿Cuándo fue la última vez que compraron una radio en su casa? (MESES),varlab
P21A,99,NS/NR,NA
