variable,value,label,meta
P106A,NA,106. ¿Qué tipo de causa apoyó?,varlab
P106A,1,Ecologista,NA
P106A,2,Derechos humanos,NA
P106A,3,Derechos de los animales,NA
P106A,4,Derechos de las mujeres,NA
P106A,5,Campaña electoral,NA
P106A,6,Otro,NA
P106B,NA,106. ¿Qué tipo de causa apoyó?,varlab
P106B,1,Ecologista,NA
P106B,2,Derechos humanos,NA
P106B,3,Derechos de los animales,NA
P106B,4,Derechos de las mujeres,NA
P106B,5,Campaña electoral,NA
P106B,6,Otro,NA
P106C,NA,106. ¿Qué tipo de causa apoyó?,varlab
P106C,1,Ecologista,NA
P106C,2,Derechos humanos,NA
P106C,3,Derechos de los animales,NA
P106C,4,Derechos de las mujeres,NA
P106C,5,Campaña electoral,NA
P106C,6,Otro,NA
P106D,NA,106. Otro,varlab
P107A,NA,107. ¿Las opiniones que usted emite en las redes sociales influyen sobre todo en ..,varlab
P107A,1,Amigos,NA
P107A,2,Familia,NA
P107A,3,Compañeros de trabajo/estudio,NA
P107A,4,Público en general,NA
P107A,5,Periodistas,NA
P107A,6,Organizaciones políticas,NA
P107A,7,Gobierno,NA
P107A,8,No influyen,NA
P107A,9,Otro,NA
P107B,NA,107. ¿Las opiniones que usted emite en las redes sociales influyen sobre todo en ..,varlab
P107B,1,Amigos,NA
P107B,2,Familia,NA
P107B,3,Compañeros de trabajo/estudio,NA
P107B,4,Público en general,NA
P107B,5,Periodistas,NA
P107B,6,Organizaciones políticas,NA
P107B,7,Gobierno,NA
P107B,8,No influyen,NA
P107B,9,Otro,NA
P107C,NA,107. ¿Las opiniones que usted emite en las redes sociales influyen sobre todo en ..,varlab
P107C,1,Amigos,NA
P107C,2,Familia,NA
P107C,3,Compañeros de trabajo/estudio,NA
P107C,4,Público en general,NA
P107C,5,Periodistas,NA
P107C,6,Organizaciones políticas,NA
P107C,7,Gobierno,NA
P107C,8,No influyen,NA
P107C,9,Otro,NA
P107D,NA,107. Organizaciones políticas ¿Cuáles?,varlab
P107E,NA,107. Otro,varlab
P108,NA,"108. ¿Usted diría que confía, mucho, más o menos, poco o que no confía en la información que circula en las redes sociales?",varlab
P108,1,Mucho,NA
P108,2,Más o menos,NA
P108,3,Poco,NA
P108,4,No confía,NA
P108,5,NS/NR,NA
P109,NA,109. Temas de interés nacional?,varlab
P109,1,Si,NA
P109,2,No,NA
P110,NA,110. Temas personales y/o familiares?,varlab
P110,1,Si,NA
P110,2,No,NA
P111,NA,111. Según su opinión ¿cuánto influyó en usted la información y las opiniones de las redes sociales en los últimos procesos electorales?,varlab
P111,1,Mucho,NA
P111,2,Más o menos,NA
P111,3,Poco,NA
P111,4,No influyó,NA
P111,5,Otro,NA
P11E,NA,111. Otro,varlab
P112,NA,112. ¿Usted o alguna persona que conoce ha usado o usa una cuenta de redes...,varlab
P112,1,Sí,NA
P112,2,No,NA
P112,9,NS/NR,NA
P113,NA,113. ¿Conoció alguna vez personas a través de Internet?,varlab
P113,1,Sí,NA
P113,2,No,NA
P114A,NA,114. ¿Con la persona con la que estableció la relación más larga... (MESES),varlab
P114B,NA,114. ¿Con la persona con la que estableció la relación más larga... (AÑOS),varlab
P115A,NA,115. ¿Qué tipo de relación estableció con esa persona?,varlab
P115A,1,Amistad,NA
P115A,2,Relación amorosa,NA
P115A,3,Laboral,NA
P115A,4,Política,NA
P115A,5,Otro,NA
P115B,NA,115. ¿Qué tipo de relación estableció con esa persona?,varlab
P115B,1,Amistad,NA
P115B,2,Relación amorosa,NA
P115B,3,Laboral,NA
P115B,4,Política,NA
P115B,5,Otro,NA
P115C,NA,115. ¿Qué tipo de relación estableció con esa persona?,varlab
P115C,1,Amistad,NA
P115C,2,Relación amorosa,NA
P115C,3,Laboral,NA
P115C,4,Política,NA
P115C,5,Otro,NA
P115D,NA,115. Otro,varlab
P116,NA,116. ¿Llegó a conocer físicamente a esa persona?,varlab
P116,1,Si,NA
P116,2,No,NA
P117,NA,117. ¿Pertenece a algún grupo de personas o comunidad...,varlab
P117,1,Si,NA
P117,2,No,NA
P118A,NA,118. ¿Qué intereses comparte con los grupos o comunidades a las que pertenece?,varlab
P118A,1,Videojuegos,NA
P118A,2,"Animé, manga o comics",NA
P118A,3,Software libre,NA
P118A,4,Tecnología,NA
P118A,5,Actividades políticas,NA
P118A,6,Cultura,NA
P118A,7,Actividad profesional o de estudio,NA
P118A,8,Deportes,NA
P118A,9,Educación,NA
P118A,10,Ecología/ medio ambiente,NA
P118A,11,Música,NA
P118A,12,Otros,NA
P118B,NA,118. ¿Qué intereses comparte con los grupos o comunidades a las que pertenece?,varlab
P118B,1,Videojuegos,NA
P118B,2,"Animé, manga o comics",NA
P118B,3,Software libre,NA
P118B,4,Tecnología,NA
P118B,5,Actividades políticas,NA
P118B,6,Cultura,NA
P118B,7,Actividad profesional o de estudio,NA
P118B,8,Deportes,NA
P118B,9,Educación,NA
P118B,10,Ecología/ medio ambiente,NA
P118B,11,Música,NA
P118B,12,Otros,NA
P118C,NA,118. ¿Qué intereses comparte con los grupos o comunidades a las que pertenece?,varlab
P118C,1,Videojuegos,NA
P118C,2,"Animé, manga o comics",NA
P118C,3,Software libre,NA
P118C,4,Tecnología,NA
P118C,5,Actividades políticas,NA
P118C,6,Cultura,NA
P118C,7,Actividad profesional o de estudio,NA
P118C,8,Deportes,NA
P118C,9,Educación,NA
P118C,10,Ecología/ medio ambiente,NA
P118C,11,Música,NA
P118C,12,Otros,NA
P118D,NA,118. ¿Qué intereses comparte con los grupos o comunidades a las que pertenece?,varlab
P118D,1,Videojuegos,NA
P118D,2,"Animé, manga o comics",NA
P118D,3,Software libre,NA
P118D,4,Tecnología,NA
P118D,5,Actividades políticas,NA
P118D,6,Cultura,NA
P118D,7,Actividad profesional o de estudio,NA
P118D,8,Deportes,NA
P118D,9,Educación,NA
P118D,10,Ecología/ medio ambiente,NA
P118D,11,Música,NA
P118D,12,Otros,NA
P118E,NA,118. ¿Qué intereses comparte con los grupos o comunidades a las que pertenece?,varlab
P118E,1,Videojuegos,NA
P118E,2,"Animé, manga o comics",NA
P118E,3,Software libre,NA
P118E,4,Tecnología,NA
P118E,5,Actividades políticas,NA
P118E,6,Cultura,NA
P118E,7,Actividad profesional o de estudio,NA
P118E,8,Deportes,NA
P118E,9,Educación,NA
P118E,10,Ecología/ medio ambiente,NA
P118E,11,Música,NA
P118E,12,Otros,NA
P118G,NA,118. ¿Qué intereses comparte con los grupos o comunidades a las que pertenece?,varlab
P118G,1,Videojuegos,NA
P118G,2,"Animé, manga o comics",NA
P118G,3,Software libre,NA
P118G,4,Tecnología,NA
P118G,5,Actividades políticas,NA
P118G,6,Cultura,NA
P118G,7,Actividad profesional o de estudio,NA
P118G,8,Deportes,NA
P118G,9,Educación,NA
P118G,10,Ecología/ medio ambiente,NA
P118G,11,Música,NA
P118G,12,Otros,NA
P118H,NA,118. ¿Qué intereses comparte con los grupos o comunidades a las que pertenece?,varlab
P118H,1,Videojuegos,NA
P118H,2,"Animé, manga o comics",NA
P118H,3,Software libre,NA
P118H,4,Tecnología,NA
P118H,5,Actividades políticas,NA
P118H,6,Cultura,NA
P118H,7,Actividad profesional o de estudio,NA
P118H,8,Deportes,NA
P118H,9,Educación,NA
P118H,10,Ecología/ medio ambiente,NA
P118H,11,Música,NA
P118H,12,Otros,NA
P118I,NA,118. ¿Qué intereses comparte con los grupos o comunidades a las que pertenece?,varlab
P118I,1,Videojuegos,NA
P118I,2,"Animé, manga o comics",NA
P118I,3,Software libre,NA
P118I,4,Tecnología,NA
P118I,5,Actividades políticas,NA
P118I,6,Cultura,NA
P118I,7,Actividad profesional o de estudio,NA
P118I,8,Deportes,NA
P118I,9,Educación,NA
P118I,10,Ecología/ medio ambiente,NA
P118I,11,Música,NA
P118I,12,Otros,NA
P118F,NA,118. Otro,varlab
P119,NA,119. ¿A la semana cuántos días está en contacto con estos grupos o comunidades?,varlab
P119,9,Menos de 1 vez,NA
P120,NA,120. ¿Utiliza Internet para organizar o participar en actividades políticas,varlab
P120,1,Si,NA
P120,2,No,NA
P121A,NA,121. ¿A través de qué plataformas o redes sociales participa de estas actividades?,varlab
P121A,1,Correo electrónico,NA
P121A,2,Facebook,NA
P121A,3,Whatsapp,NA
P121A,4,Telegram,NA
P121A,5,Twitter,NA
P121A,6,Sitios web,NA
P121A,7,Otro,NA
P121B,NA,121. ¿A través de qué plataformas o redes sociales participa de estas actividades?,varlab
P121B,1,Correo electrónico,NA
P121B,2,Facebook,NA
P121B,3,Whatsapp,NA
P121B,4,Telegram,NA
P121B,5,Twitter,NA
P121B,6,Sitios web,NA
P121B,7,Otro,NA
P121C,NA,121. ¿A través de qué plataformas o redes sociales participa de estas actividades?,varlab
P121C,1,Correo electrónico,NA
P121C,2,Facebook,NA
P121C,3,Whatsapp,NA
P121C,4,Telegram,NA
P121C,5,Twitter,NA
P121C,6,Sitios web,NA
P121C,7,Otro,NA
P121E,NA,121. ¿A través de qué plataformas o redes sociales participa de estas actividades?,varlab
P121E,1,Correo electrónico,NA
P121E,2,Facebook,NA
P121E,3,Whatsapp,NA
P121E,4,Telegram,NA
P121E,5,Twitter,NA
P121E,6,Sitios web,NA
P121E,7,Otro,NA
P121F,NA,121. ¿A través de qué plataformas o redes sociales participa de estas actividades?,varlab
P121F,1,Correo electrónico,NA
P121F,2,Facebook,NA
P121F,3,Whatsapp,NA
P121F,4,Telegram,NA
P121F,5,Twitter,NA
P121F,6,Sitios web,NA
P121F,7,Otro,NA
P121G,NA,121. ¿A través de qué plataformas o redes sociales participa de estas actividades?,varlab
P121G,1,Correo electrónico,NA
P121G,2,Facebook,NA
P121G,3,Whatsapp,NA
P121G,4,Telegram,NA
P121G,5,Twitter,NA
P121G,6,Sitios web,NA
P121G,7,Otro,NA
P121D,NA,121. Otro,varlab
P122,NA,122. ¿Ha realizado alguna vez llamadas de voz por Internet?,varlab
P122,1,Si,NA
P122,2,No,NA
P123,NA,"123. Del 1 al 5, donde 1 es pésimo y 5 es excelente ¿qué puntaje le daría a este servicio?",varlab
P124A,NA,124. Visitar páginas web?,varlab
P124A,6,No realiza actividad,NA
P124A,9,NS/NR,NA
P124B,NA,124. Realizar videollamadas?,varlab
P124B,6,No realiza actividad,NA
P124B,9,NS/NR,NA
P124C,NA,124. Ver películas?,varlab
P124C,6,No realiza actividad,NA
P124C,9,NS/NR,NA
P124D,NA,"124. Descargar música, videos?",varlab
P124D,6,No realiza actividad,NA
P124D,9,NS/NR,NA
P124E,NA,124. Jugar videojuegos?,varlab
P124E,6,No realiza actividad,NA
P124E,9,NS/NR,NA
P125,NA,125. ¿Utiliza usted correo electrónico?,varlab
P125,1,Si,NA
P125,2,No,NA
P126,NA,126. ¿Hace cuántos días utilizó por última vez su correo electrónico?,varlab
P126,98,Mismo día,NA
P126,99,Ns/Nr,NA
P127,NA,127. ¿Tiene alguna página o blog en Internet?,varlab
P127,1,Si,NA
P127,2,No,NA
P128A,NA,128. ¿Usted utiliza esta página/blog sobre todo para ?,varlab
P128A,1,Promocionar su actividad económica,NA
P128A,2,Compartir información,NA
P128A,3,Compartir música/videos,NA
P128A,4,Publicar artículos o actividades propias,NA
P128A,5,Otro,NA
P128B,NA,128. ¿Usted utiliza esta página/blog sobre todo para ?,varlab
P128B,1,Promocionar su actividad económica,NA
P128B,2,Compartir información,NA
P128B,3,Compartir música/videos,NA
P128B,4,Publicar artículos o actividades propias,NA
P128B,5,Otro,NA
P128C,NA,128. ¿Usted utiliza esta página/blog sobre todo para ?,varlab
P128C,1,Promocionar su actividad económica,NA
P128C,2,Compartir información,NA
P128C,3,Compartir música/videos,NA
P128C,4,Publicar artículos o actividades propias,NA
P128C,5,Otro,NA
P128D,NA,128. Otro,varlab
P129A,NA,129. Noticias nacionales?,varlab
P129A,1,Tv,NA
P129A,2,Radio,NA
P129A,3,Periódicos impresos,NA
P129A,4,Periódicos digitales,NA
P129A,5,Páginas web,NA
P129A,6,Redes sociales,NA
P129A,7,Charlas con amigos,NA
P129A,8,Otro,NA
P129A,9,NS/NR,NA
P129B,NA,129. Noticias nacionales?,varlab
P129B,1,Tv,NA
P129B,2,Radio,NA
P129B,3,Periódicos impresos,NA
P129B,4,Periódicos digitales,NA
P129B,5,Páginas web,NA
P129B,6,Redes sociales,NA
P129B,7,Charlas con amigos,NA
P129B,8,Otro,NA
P129B,9,NS/NR,NA
P129C,NA,129. Noticias nacionales?,varlab
P129C,1,Tv,NA
P129C,2,Radio,NA
P129C,3,Periódicos impresos,NA
P129C,4,Periódicos digitales,NA
P129C,5,Páginas web,NA
P129C,6,Redes sociales,NA
P129C,7,Charlas con amigos,NA
P129C,8,Otro,NA
P129C,9,NS/NR,NA
P130A,NA,130. Noticias internacionales?,varlab
P130A,1,Tv,NA
P130A,2,Radio,NA
P130A,3,Periódicos impresos,NA
P130A,4,Periódicos digitales,NA
P130A,5,Páginas web,NA
P130A,6,Redes sociales,NA
P130A,7,Charlas con amigos,NA
P130A,8,Otro,NA
P130A,9,NS/NR,NA
P130B,NA,130. Noticias internacionales?,varlab
P130B,1,Tv,NA
P130B,2,Radio,NA
P130B,3,Periódicos impresos,NA
P130B,4,Periódicos digitales,NA
P130B,5,Páginas web,NA
P130B,6,Redes sociales,NA
P130B,7,Charlas con amigos,NA
P130B,8,Otro,NA
P130B,9,NS/NR,NA
P130C,NA,130. Noticias internacionales?,varlab
P130C,1,Tv,NA
P130C,2,Radio,NA
P130C,3,Periódicos impresos,NA
P130C,4,Periódicos digitales,NA
P130C,5,Páginas web,NA
P130C,6,Redes sociales,NA
P130C,7,Charlas con amigos,NA
P130C,8,Otro,NA
P130C,9,NS/NR,NA
P131A,NA,131. Ciencia y Tecnología?,varlab
P131A,1,Tv,NA
P131A,2,Radio,NA
P131A,3,Periódicos impresos,NA
P131A,4,Periódicos digitales,NA
P131A,5,Páginas web,NA
P131A,6,Redes sociales,NA
P131A,7,Charlas con amigos,NA
P131A,8,Otro,NA
P131A,9,NS/NR,NA
P131B,NA,131. Ciencia y Tecnología?,varlab
P131B,1,Tv,NA
P131B,2,Radio,NA
P131B,3,Periódicos impresos,NA
P131B,4,Periódicos digitales,NA
P131B,5,Páginas web,NA
P131B,6,Redes sociales,NA
P131B,7,Charlas con amigos,NA
P131B,8,Otro,NA
P131B,9,NS/NR,NA
P131C,NA,131. Ciencia y Tecnología?,varlab
P131C,1,Tv,NA
P131C,2,Radio,NA
P131C,3,Periódicos impresos,NA
P131C,4,Periódicos digitales,NA
P131C,5,Páginas web,NA
P131C,6,Redes sociales,NA
P131C,7,Charlas con amigos,NA
P131C,8,Otro,NA
P131C,9,NS/NR,NA
P132A,NA,132. Entretenimiento?,varlab
P132A,1,Tv,NA
P132A,2,Radio,NA
P132A,3,Periódicos impresos,NA
P132A,4,Periódicos digitales,NA
P132A,5,Páginas web,NA
P132A,6,Redes sociales,NA
P132A,7,Charlas con amigos,NA
P132A,8,Otro,NA
P132A,9,NS/NR,NA
P132B,NA,132. Entretenimiento?,varlab
P132B,1,Tv,NA
P132B,2,Radio,NA
P132B,3,Periódicos impresos,NA
P132B,4,Periódicos digitales,NA
P132B,5,Páginas web,NA
P132B,6,Redes sociales,NA
P132B,7,Charlas con amigos,NA
P132B,8,Otro,NA
P132B,9,NS/NR,NA
P132C,NA,132. Entretenimiento?,varlab
P132C,1,Tv,NA
P132C,2,Radio,NA
P132C,3,Periódicos impresos,NA
P132C,4,Periódicos digitales,NA
P132C,5,Páginas web,NA
P132C,6,Redes sociales,NA
P132C,7,Charlas con amigos,NA
P132C,8,Otro,NA
P132C,9,NS/NR,NA
P133A,NA,133. Negocios/oportunidades laborales/bienes o servicios?,varlab
P133A,1,Tv,NA
P133A,2,Radio,NA
P133A,3,Periódicos impresos,NA
P133A,4,Periódicos digitales,NA
P133A,5,Páginas web,NA
P133A,6,Redes sociales,NA
P133A,7,Charlas con amigos,NA
P133A,8,Otro,NA
P133A,9,NS/NR,NA
P133B,NA,133. Negocios/oportunidades laborales/bienes o servicios?,varlab
P133B,1,Tv,NA
P133B,2,Radio,NA
P133B,3,Periódicos impresos,NA
